snake_path,spiral_path,random_walk_path
rrrrrrrrrdlllllllulldurrrddrrrrrrdlllllrdddldlllluuuddddrrrrruruuurrrdlldrrdlldldrrurdlllllllll,rrrrrrrrrdddddddddllllllllluuuuudddrrrruruuuuulllulldurrrddrrrurrdddddddlllllllurrrrruuuuruddddduuuulll,durrrrdllulldudurlrrrddrruurrdrurddlldrrdldlluuuuudrulrrddurudduuldurddluulddrurldduurduulrlrlldrrdullrruddldldulldddrrdlllurddrrdrruuuuldddurduududldrduulrlllddllluuldldrrrururlldrrrdruduuruuuddlrduuudduuddlluldrrluuuulduddduullrrrddlrrdrddlldlrllludrrlrllrlullrdrrlurdrrrruuddulrulluududldlrudruldrldulrurlldlduurudrruuuuurllududrrdrldldldlrrdlludrdullrlrudruuuldrldrrddlrulldulrudldldrudlduururldlrrdrrullduruuddruurlrlldlldlllluuududduduuddddd
ddddddddduuuruuuuuurddddddddruuuuuuuddrddddrdruuluuuruulurrddddldrddruuuuuuurddddddddldr,rrdrddrrruuulrrrrdddddddddluuullllllllddduuuuuuuurdrddrrrrruuullrrrddddlldddlulldluuuluurrddrrrrdd,ddrrdddrrddlullluruulddrlrdldddududuudududduuurlduddduuududduuurduudrdddrlrurrdruuuluulluululddldduduuduuuddudrudlurldrrlduluurlrrlrlrllddrrddrrrrrrruluruulldllurddrdlrruududldllrrrullrdrrddlddrddlurlruudlluurdddruuluruddlluldl
ddddddrurrddddllludrrruuuuruuuulllddduuuurrrrdddddllludrrrddruuuuuuurddddddddlrruuuuuuuurddddddddd,rrrrrrrrrddddddddduluuulllllddddllludrrruuuulllduuuuurrrrrrrrdddlddddluulullllduuuuurrrdrrrdlldddduullludrruurrd,drrrulllrrdrrurrdldldddllldluuuurddrluduuluudrrrudlldlrlurudldududddduurulrlrddddluudrudurdldudlrludrluudududrdlurluddrlurduuddlururdudulrlldrldrudlurluduruduldrddlruduludrrulrdldudurulrldrldlrlruuddurrddddllludududrludrlrrlrrudlrudllrlrrlrudlrudllrlrlrlrrlllrlududrrlludududududrrrlrlruduuudddudlrlrlrudududllrllrrrllrllrlrlrrrllrlrlrruuddllrrllrlrlrrlruuduuulrrruruuruurdddlddlddlurrddlrrruuluruuuuulrduddludldlluuddrdldrdldruruurruduldluullduuurlrlrddrddulurdldudldrrurulrruldllrurrduududullrdurdudllddddrddrd
dddrrruuurrrrrddddldlllddllululddddruurdrruuurrdrruruuuulllullldddlluuddrruuurrrrrddddldlllddddlluurruurrruruuuullllldddduurluurrrrrrdddddddlllrddrurd,drddrruuurrrrrrdddddddddlluuuulllddddlllluuuurdrdrruurrruruuullullldddlllurdrruuurrrrrddddddddulluullddldllurrruurrruruuuulllllddrldd,ddrulrlrddrrduuuurrrrrrdldrddldrdddlluuulllddldrdlluuululddddruuduldrdlrrudluulruluddrrlldurldrldrlrurulldrrurdlrullurludrdlldrdrlrrrudllururldrldlrllrllrrrudrlludrruuddududuuuurldurlrldudurrddrruududduluudruurduluullulrdruldulrllrrdulllddrlrlrlrlrlrludududrlddulllurdludrlruduulududrddlruudlrldurldudrlurlduurlrdlduruldudruddudlurluuddudduurddluuudddrrrdudududuurlrluddllrluulddrlruudlrdrllrlruulrlduudrlrdududdlurulududdrdrrduduudduurldduduuudrluddlrurluuddrldlrlrlrlluuldruddrlrlrruduudddullrrduduuddulrllluuududddudrrrurlrldlrurlrlrldllrlrrurlddulrdullrrduuuddurlddulllrudrluuludududrlrdlrdlrrllruluududrddlrlrulrdlrrrdullluuudududrdlrulrlrldurlrdldrrlrruduudrldduuddullrluuldruduludrduldrdrlrruuurldurrrdurllllrlrrlrrdrludrrddduuddrldrdududlrlludldurlulrddruldrrllrudddrr
dddrrddddddllrruuuruulluuuurddrdruulurrddddldrdddlrdruuuuuuuuurdddddddddruuuuluuuruurddlldddrrdddd,dddrrddddddllrruuururrddddrrrruuuulluuurruullllllllddddrrrrrddddllrrrruuluuuluurrlllllldrrrdrrdddduuuullll,rrrrrdrdrurullrllrrddrruuldudlrluduldrldldrdddddldrrruluuurddruudulddludlluuuldluurullldluurrrrdrlldldlrdddddllrrlrudllrlrrlrllrrlrudllrlrlrrllrlrlrruududdllrrudlrllrrlrlrlrllrlrrudlrllrrlrudududllrruuuruduudlrluurduddlrruurrrdlllrdudddrdrldrulllrduududlrudurldrruruluuuurruulrlddrudlurdllurldudluldrlrrudllrdldudlllurrrddrdullldluurruulldluudlrldruldrrldrudrdrrrrdrurdulrdllduurlduldrddrrd
rrrrrrrdrrdlllulllllldrrrrrdrrrrdlllllulllldrrrdddrdrruruurrlllrddddllllllluuuurrurrrrrrddrdllldllllrrrrurrrd,dddddddddrrrrrrruurrduuuuuuullulllllldddddrrdddlrrrrururuuuullulllldddrdddrluuurrrrduullulldrrrdd,ddrdlddrrrddddludlluuudddrlrrlrrruuludrdrrrdllruurrurullullllurrrrurdruulllulllldrrrdrdldulullddldurdlrrdduduuudlrduurlududlllrdrulurldulruuudulrrdrulllrldduuddrrdduuldduulrlurrudlldrrldlrduuulurrlrdrllrldddldrrrduurullrurlrurlrlldrlrllruudlludrdrullddrrdruulurldruurlrllrrrrddlrddrrdududdddulrluldurlul
rrrrrrrrrdlllllllllrdrdddrrruuulrrrrrdlllddddlllddlluuuuuurddrrrrrurrdldldrruddllllldllllurdrrrrrrrr,rrrrrrrrrdddddddddllllllllluruuuuuuulrrrrrrrrdddddddlllllurrruulllluuuurrdrrrddddduuululd,drurddddluurdddldddldrrruurdrdrurrrdllluuuurrrdldruuullurululullldrrdrddldllrrrdrdlllrlddluurddluurdrrluruuddrrrlrdlruuuuuuuullrdudurddlrldlrddlduuullul
dddrrrddddlluulddddrurrruurruuurruulllllllduurddruurrrrrrddddlldddllddllluuruuuuururrrrdddddddlldrrruuuu,rrrrrrrrrdddddddddllllllllluuuurddrruuuullluurrrrrrrrdddddddlllllllurruuuuullrrrlddddrrruuurddddlll,ddrurrrdlldllruluurrrrrrrrdlllulllrrlldrlruldrddddddrrulrrddrdrruluulurrulllurruruulldrduuldudurldrddrlrddddlldrdrllllluldllulurulurdudlruldurduldudrlruldurduldudurddrddudrrlluruurrruurldrluuddududdlddrdurdruudurldlduduuulldrruruduuldulurduddrruduludurddulldrruduluudlrlruurddudldlurrdlrludddruulludruuuurlrlrldlulrlrlrrrlddrdllrdudulrrudllrrdldddlllludlldululruldrdluurlrdldrdld
dddrrddddldldrruruuuuuulluurdrddrrrddddldldlrrruruuuuulllluuurdlddrrdulluuurrrllldddrrrrrddddddlrruuuuuulllllluuurrrrdurrd,dddrrddddldldrrrrrrrrruuuuuulllllluuurrrrrrdullllllllddrrddddddlrrrrrruuuulllulluururrrdullllldrddrrrddddlrruu,rrdlldrdrurdddlddruldldldrrurdrururddluudrrdrrululuruuulddldrddlldlulrrrulrdldruulrldurduruldlddlrludlurdrrlulldluuurudulururrrdlruldrudrlrlrulrrrddddudduuuululdudrduduuldudrrdudduduldddrudlrdudlrlruullurudllurdluuududrdlddlrdurdudllduudurrrrllurulurdurdluudrudddlulullurllrlrlllrdddudlrlurlddrudulrlrddrrrudurlrldllllrlllrruldldurrlurlrldrrrdrllrrudlrurlururuullurllrlluuurrrrdurrdullrldurrllrrllrrdudududulldullldurldulrdluldddll
dddddrdduuuddrruuuulluurlddrrdrddddllrddruruuuuullulluurrrlllddrrdrrrddddddlrruuuuuuuuulddurrulddddddrdddruuulluuuuurru,rrrrlllddrrdrrruuurrrdlldddddrrdddlllllluuulluluuuurdrrddrrrdddrrdllllullluuuddrrrrduull,drurrrlrllrrllrrllrlrrlllddldddruluddurdddrurdddrurruurddrdruuuldluuuulddluulddddrurdrrudllddrrrlrluuldldlulldrlrrludulrlururrlrruluuuuurrdrulrdllddduulrlududdldlluulrdudrdld
rdrrddrruruurrrdlldrdddddddlluluuuullluulluddrddrrruurrrrrudddddddlllluululllluuurrrrrrrdulldddrllldllldrdl,rdrrddrruruurrrdddddddddlllluullllddluuuuuuuurdrddrrrurruurddddddddlluluulllluuurrrrrrdullddlllrrrdr,drdddddldddruururuurullurulluldddddurrdrrrddllurrrlrlddrdlrrruruuuulluurrulllurrrldrddlrduddldddrdllluldrulrdluduudududrluuuuurul
rrrrrrrrrdlllllllllrdrrrrrrrrdlllllulldurrddrrrrrdulldllldllulldrdrrrrurdrrdlllllllluddrrrrrrrrru,rrrrrrrrrdddddullldddrrdrdllllllllluuuurrdrruuuuullllrdrrrrurrrddllldddddrrlllllluurdrruuuuurrrddduuullllld,drurdrurdrrddrruuulddllddldrdrdrrddrulldlulldrrrlruudlrrrlrdluuddurldlrurdlllluulullldlddrrruuldldluuuurrlrdlulrlddudrdududrlduduldudrrlrurrdrrrrurdlrlurlllldurldruldlurllulrddruurlrdrrurduldrdrulduulrldlrulrduddudulldrllurrurlddllluruddrrrrlulluururullulullduluuddurrrdluuddrrduluurrldurdullddudrddruulrluudrurrrddddluluurdrluldrullurdludullrlllrdldduduuddurlrrulrdlrluldrurrlllurdrlurrdrduulldrludldlrrurlrrdrululdulduddudludulduurdudldduluulrrrduldrrudududuldlrllrlrududrdulrrdddudrrlduudduurudrduddlrludulurdllurdrrrrd
rrrrrddrrrurudddllllluuddldlluuuldrdddrrrurrrrrdlllldllllldrrrrrrurrrdlldlllllldrrrrrrrurd,ddrddddldrddrrrrrrrruuuuuuuuudldllluullllddddrddddrrrrrruuuuulllluuddlddddrrrruuulllddrrul,rrrrrdddrddrddruuuurullddlllddrdruulddddlluurdllldrrlluulurruururuuudruddrlludduuurldruldrldddldddllrdludulrrdudldrrurllurllrdurddrludrurrdrruruuuuuuulrudddlddlluulrddrlldullrldulluuulurduurlrlrlrldduduuldrdduuudurlrlddulduduurldudduruddlurlurlrrrrdddlrdrlruuddluuuudduurldddlduddlurldrdlurdldrllrrrdruurdrdurlrudldlrruuluuurrdlllrudrurllrddulrulurdldludldluddrduruurludlrlldrlluudlrrruulrrrrurldudrudldddrduluuruduudlrudlrdluldrrudddlurduudlldluddudddurrdldrr
rrrrrrrrrdllllllllldrrrrrrrrrdllllllllldrurrrrrrdrrdlldllluldlrrdrrrrurddllllluulldlldrururrdddrrrrruuullllllldlddl,ddddrurrrrrrdddllllldllddruururrdddrrrrruuuuuuuuullllllllddrrrrrrrdddddllldrrruuuuuuullllllrrrrrdddddlllul,ddruurrdldrdlldlurrrrrrulurrurrdldrddldrdllldrddlululddrluuulurlrldldlldrdlurdudlrudududlurlurlrddludrulurldrurlddlrudududuulrlrlrdduldrudulrlrdlrlruurududlrlduddluurddlurlurduldurldrdluduuddrudluudrdlurururlrududldurudlrudrrrdldduldrluuurlrrruuuuudrddluruddrdddddluulrdlurdrlduluruddrldllurdrudrlllrrudluudllrurlllrludrdudurrddllruluulrrrlrddrrdlruuulrllruuddruulludurruulllulldd
rdddrdrdrrruuuuulrrrrdllllrrdddddlllllululuuuddddrdrrrdrrrruuuuurddddddllllllllldrrrrrrrrr,rdddrdrdrrruuuuulrrrrdddddddddlllllllllurrrruullulluuuurdddddrrrrrruuuuullrrrdddddddlllurr,rdldddrrdllrdrrrdddrruluuullulululrdrldulrdudlduududrrullduurduudlrulruduldrlurldurlrddlurldurduulddddduuddurrdulddudrrrdrrurdrrddllurlldruuluurrdruuulldluuulurrrrddluldrddlrdduuludduududuuurudrullddrrlddldrdddldlludlllurrdrlrrrlrullldlududlluld
drrrrrrrurrdldlllllllldddddrruuruurrrrrruddllllluullldldddddrrruururrrrrdllllrrdrrulllldlduurrrrddrdluuulllldddrlllll,drrrrrrrurrdddddddddluuulllldddrllllluuuuuuurrrrrrrruddddllllldddlluruuruuulldurrrdrrrddddullduuurll,drrrdrrdllddlddrrurrrdrddruuuluuuruluuldddlddrudllluruluurrdrrduruullrrlldurrlldudurldldlluldlldlddddddrurrrdrllllrudluuluduuddudrrurrrdududlrlrlluurulddddrdlrrludrllrlluuurrudrrlduuldlurdduddlurrulrllludurrrlrlrddlrullururuulrrldrldrddurllruudddluddullurdldrrlduurrrululruddldrrurrullrrlrllrrluduudrluurdddllullrrldrdrrdluuduududlulrrlurrddddulurudududlrlludllruduludddrdrlruuululdlludddlrdldrlrrdldruudurlddrludllrrrlllrlururlrrluddlrlruduldrdudllurldurrluuuuududrduudddrrurldrlulllrurdlduurrlrlruullurdlllrddurudddrldldruldluudduurrurulrururldlludurrrrulrldldlldddrululurrlldrrurdrdrrudludrddluruluurlrullurdlurddrlrllruudruldulddulrddurruudludurdldudldduulurdlrldruldlulluldll
dddddddddruuuuuuuuurdddddddddruuuuuuuuurdrurrrdddlldlldddddruuuurddlddrrlluuuuurrrrddlruulllldddddrrrrlllluuuuururrruuu,rrrrrrrrrdddddduulllldddddrrrrllllllllluuuuuuuurrrrrurrrdddrdddlruulllllddddllluuuuuurrddrrrurlddddlllluuuurddd,ddrruurdrurdurrrrddluddllddlddrulldlulddrrrdlllluulddruuuuulurrruddldrrurrrrruuuullrddrdldluldrurldludurdudlldrllrrdulddrlddrrrrlrllrrlrlllrrllluduludlrlrduluddurrdudllluululudrddlrrurdrulrruludlullluduurldrddldrdurlddluuruuduuuuuurdudldruuddlrurddudulrduuurldurlllrdrudlduudurlddllurrurllrdlrudulrrrrrrrrdlrudddlllrlrldlrurruuddurulrlulrlllrrlrllrlrrlllrdluldlulrdulrdudullrdldrdulddududrdddluududrduruddudrllldurddrlrudluudurrrldlrruuuuddrlldurulurluduuuuddlulrrludurdrurrlllrlrrrrlrrdrddldrddl
rrrrddrrrruurddlldlllluullldrrrrrrrrrdullllllldlldrrrlddrrrurrdldllllluuldddrrrrrruurrrllldddrlllllll,rrrrddrrrruurdddulldllllldddrrrrrrrllldddrllllllluuuuuuuurrrdlldddddrrrrdlllluurrrrurrlldllluur,rdlddrddrdrdrddrruluulrurrdrrllldlrlrdlrldrrlluruddrlludllllluuurdrdrdulldurlrrrdlrluuldrudululrluludrdldrrurluuuurddururrrrrulurdddulurudduudludrldrlruulrdduddududulrlldllurrlrlrdludlrluluulldrdll
dddddddddruuuuuuuuurdddddddddruuuuuuuuurddddddldddrrudlluuurruuuuuurddddddllldddrrrruurddllllluuuuurrrruuuurddddllllldddddrrrrrrulldlllluuuuurrrrrrduuuuu,rrrrrrrrrdddddulllllldddddrrrrurrdllllllllluuuuuuuurrrrrrrrddlllllldddddrdrrrruurlddlludllulluuuuuurrrrrrlddddllur,rrdllddrdrdlddrdldrruuuurrdruullurrurulurrdrdlddludlrrrduuluulrrullrrlldllulldrdldddldlluurldrluududrldddddurulrlrrrdlrdrrudrruurdrdllrudlrudrlllrududrludruduldruldlllrududrlrllrudrruduruldrdurludldurrdulrldlrrluldllududlluldrluuudllddudurduulrudrdlrruddrrudrlllrlululdrudldrrrlrrlrlluudldlrudludlrrrrllududrullluurrldddlrlrurulrrldduulrluruuuulrdrddlddurruldduudrlrldlrlldudulddrrruuurrlldudlruurrdlulluludluurlrlrdrulrudlddlddurddrludlrrdllduuurdluddrdrruululluruulrrdllrlurdrrullddruduldudlurrrllrrudrddrlruduuuu
drrrrddddllllddddruuuuudrdrrruuuuuullllrrddrrddrdddllllddrurduruuuuuuruurddllddrrrdddddlrruulluuulluurrruulllddddrrrdrdulullluuurrrru,drrrrddddllllddddrrrruurrrrddlrruuuulullluuurrrrullllllllrrddrddddllluuddddrrrruurrrullluuurrrlllldddlddl,rdlurrdrurddrddrrrddlulldrdldldllllururuuluddlurrrruururruurdrulrlrlddulllurrdulrdldruudududrrulllrrlddulrldrulllrurrrlrdudulldlurddulrudlrrlulrdldurdldlulrrddrdluddlldrldlldlrudrululudrlrludurrurrldlrulrrdrllrruddrrrddruuuuldurddduluuulrldrulldlllruuduuurlddrlduudulrdruullrduldudrdrdrldrrlurrdulddlurllrlrdrrruldrdddll
dddrrdddldldurrruuulluuurdrdruuuurdddddlddddruuuruuuuuurdddddddldduurruuuuuuurddddddddd,dddrrdddldldurrrrdrruurrrdduuuuuuuuullllldddlluldddrrrrddduurrruuuuullldddlldddruurrruuuldd,ddrurdrrdldlullurrludruddrrddrrrululdddrrruurdddduudduuullluluurrdruruuulllllddrrrurdurdududludllululdrlurdddrududlddddlllldldurrrrdrurdudlurulllulrlrluluduludrdrdrrulddrluldrldrludlldurudududruldrudruurldurdduddrruduurrludlurulruduulldudldlrlurrdurrrr
rrrdrrrrurrdldrdddlllluuulllulldrdrrruurrrdrdrdddlllullullllurrddrdurrrddrrrdllluuullldddllldrrruuuurrrddddrrrllll,rrrdrrrrurrdddddddddllllruuuulllddddlllurrruuuullluuurrdrrrurrrddrddldddluuulluulllluurrrrrrdullldddlld,drurrddllddrdrrrrdddrruluurdruuulurululddruruldudllldlurlllddrrrdlllurdllluururlrudddduurldllrdurduurlurrdrlurduldlllrrdlddrdddldllurldrludurrrdlrulrdllurlldrlrurdrllurlrlldrrrulruuurulrllluuddluuurudrrdurllldrrdrldllrlluudrlurudddrllrrludlurluduuudrruldruddldldrudlrudududuuddlrrruulrrrdduddlrrlrddddlrrrruu
rrrrrddrrururdllddllluulllldrrrdllldrrrrrrrrdrdllulllllllrdrrrrrdrrrdllllullllrdrrdrrrrrlllllll,rrrrrddrrururdlldddrdrddddllllllluuuulluuuurrrrddrrddrdrddlllllulluuuuurrddrrddrdrllluululurddd,ddddruuuurddddrddddrdlluuluulrrdrrdrdrurdrdruuluuuldluuldldrdrrluduuuululdluurrldlududllrdldlurdddduuulurlduruurdrudrruddrrururdllrldddddrrulluldrdrdrlddlllluruudrduldllldrluuluuuuulrrdrr
rrrdrdrrdddddrruruuuuuuldddrdddddlllluuuuulullulldrldurrrrddlldrrdlllldrrrrdlllldrrrrrrrrr,rrrdrdrrdddddrruruuuuuuldddrddddddllllllllluuurruurruullllduurrrrdrddddddrrrlllllllurrrulur,drdlduururrddrulldlulrurldrrrdrdldrdruuullrlrlddllddrrululrduruurllludrrududluludduurdlrudrdlllludruduulddduududdudurrrudlurullrrlrlrdrddrlrrdddddrururuuuuuuldddrlrddddddllllululldrdrrluruuluuurluudlrlllrludrlrlluddurldududurldudududuuudurrldldudururrllldudrrllddudururullrldrudrullrrllrdlurlrrldurrdrdrrdudluldrldudurrldudlrdruuulddrldududlrruddlrdlrdurrdrdlluurdldurlululudrululruurllrllrudullllurlrrrddllrruuldllurrrldulrdrulrlllrldrlrrurdllrurdudlrrlrdullurllrrlldldrldudurrrrrlrdrldldlulrrdrluldudlrrdurlurrlrlulrrduldrululluldllrlrrrlrrudludlruudllrdrrdrudrddulrlldrddddlulruuuurulrurdudlurllllllrrllduudduuurdrllrlrdulddudurlrlrrudlluduududurdrlrrdudrudrrddlrdluuurdulrldrdudulddudulruruldrdduduldluduuuuludulrdudrldudurldruldlurldludlurdldurludurdulrldrruudrdrlurldudulrrllurlrldlurrdrddduuudlrrrlluddurrdudududduudludrdudduddduluruldlrdrlldlurururuulllrdudrulrdudlrdrlulrruddduduuulldrlrrullulrduddrurdldlllrrurddlulrdullddldlddrrrrurdlrrururrudllddududrruuduuldddulrrduudduuuldlrrlldlrrurdllurdrudlludrrlldrudruldluruuruddduuuuduulrduuulrulrlrduldurduddddudduuuuduuldurdudduddlrlrudlrddudddllluulduuuruldlullludrllurrurddlrudurdulldllrrrlrulurlrlldduurdrrddudrrdllrddldlddlulrrludrdrlrudrrlududrllrrruldllurrudrururuududuuuluurlrdldrdudlurluddurdduluurddlrddudududduuuddduddddulrdluulrdlllrdlrllllludlruluu
rdrrurrrrrrdllllldlldrrrurrrrdllldllllluldrrdrrurrrrrdllulllddlldlludrrrruuurrrrrdddll,rdrddlldrrdddlludrrrruuurrrrrdddllrruuuuuuuuullllllllrrdddddddduuurrrrrdduuuuuulllldrrrddddduuululldr,rdrdddluldududududurldurdrruurrruuullulllrrddrrdllrrddlddddllurulruldrrurrurrulurruuullddrulluldurrrdldullurddldllururrllurlrrrdulrlldrdlludululrllrlrrlrrddrrululrdrdddddrrruuuluuddruulrddlrldrudululrlulldrurudlrdudlrdllrlurulduulrrrlldudrudllrdudrlrlulddduururdrulrddrllrrruuulrddllururdudludullllrdrrdlrrurlddrdudlllrldlrudlruulurdurdduuludrdlllluuddurlrluurdlrldrlduddldlruulrddlrurlurduuuududurrdldldrddrullrurddrdrdrrddllrrllrlrlrlrlrlrrlrllrruudulrlrduuluudlllulullrurrdddurlrurdrrduululrlrlruldulrlulllrrldrrrdddrrlrllluuddudlldurrrldudruuurdrlurlurudluldulrrrlllrldrrudrddlulrdurdldrlldrruulllullrlrrluldludrrruluddulrdduldrlrulrrllrrrurddllrdruurduulldduddurruulddlurlrlurdudrdldlldldlululduruddldllurldrrullrrudurrrduuruudurdrdurlruudlludurdddurdlldllruluurlrlruldrrrluldrudlldurlurllldullrlrrlrlrrddlurlududrurrrdruldrudurlddrulurdddlllrdurdurudddduddudulurduudlurduddudulurdlddrudludlruruuuuuldllruudulllldrdluuddrlrdurllrrduurlrlrrudlrlurrllrlldudrldurdduuudrldrluurlrrdlrldrdluluulrrldrllrulddlluurlllrrrdurdulrlldddllrdrrrddrllrudrrlrulldrrrurlruudlrdlduluuudllulldudddururluurdrulurlldrudrdlrlllrrudddrllruruuurrlrrddllrulrudrddlruludrllurrldudurdldruuduluddduddullurlurludurllrdlrllldddlrddrduuruurldrdrudulrdrddlrulrdlrrdullurdulurdlulurldldruurruddruldruddudldrdulrudlulduluuurludrdrddrdllrlrudrlulrldulllulruuldrurlllrdrudrdlruuddduduruurudrdlllrdrldurdllluldrrrrludlludrluldllrllruldurldududrrrududlluduruulrrdulrduduurruullrddrrlldduddlldrrdurlruudldrrrurulduuuuuldllddurlddrddududrrdrluuddrlrruulldlrrudlrurddduludlrluduluruldluuurdluduldudlrrldrlururullrdrulrldduuurlrlrllrrllldullrrdduudullrrrllrllrlrlrrdrurdudlduudlullrlrlrlrlrlrrrllrlrllrrddurudurlddldrrlururdudulrrudrulrdddullrdrdrudllrdddluludlldururdrrdlududuuuldulururuurdddlrlluudrudrldluuurlrrldrudurdduuduldrullldulrrrrddlrdduuluurlrlldlrllrrrdurdduululllddlddrldddlldrduulurldrlrdrluddurduuuldlddllu
dddddddddruuuuuuuuurddddddddduuuruuuuuurdddddduruuuuurdddddddddruluuruuuuuurdddlldddddrdrluluuuuurrrddduuuuuu,rrrrrrrrrdddddduuullldddddrdrlluuuullllddddlluuuuuuuurrrrrrrrdllllllldddddduuuurrrrrrdduuulllllrdddr,rrrdrdrdrddrdlddrdrllrrludrlluuuulllurrlululdldldddddrruuuuldddlrdudruuldludrduluuuuuuurdrururrdrdrddddudlrlddduuduudduurulduududlrlrrduuururdddduuddudududuuulldurlrldulllrllrruuddullullurldldurudrlulrddrddllrrrrudluuruldddulurlludlurdlddduurruddrddrlururullllrlulurulrrldurdrdururrrrrdll
dddduurrrrdddddllddlluuudddrrrururuuuuuullllurdddddruuuuurrrdddddddlldduuurrrrrdddlllrrruuuulluuuuurddddruuuu,rrrrrrrrrdddddddddlllrrruuullllldddlllluuudddrruurruuuuulllldduuurrrrrrrrddddlllddllduruuuruurrddlddduulllluurrrrllld,rrrdlldldduuudurrdrdlddrurruulduurrurrrdldrddlddlldlulurrurdrrddddlllrlrlrrruuuuuulluuuddldlrddrdudurdluulrrrlrllurdlludludrrruuluulllddludddldrrurluurulludddurrlullddddudrulruuululrldldrlduuurlrdurdrdlduduuudrdurdlddudrrdlddddlllluuudduudddrruurd
rrrrddrrruuddrruddlllllluullldrrdlldrrrrrrrrrdlulldlllllldrrrrrruurrdduulldddllllll,dddddddrrrrrruuurrrduuuudllllluuuulllddddddddrrrruuurrrddduulllluluuuurrlllddddddrruuurrruuddlllldd,ddrruluuurdrurdddldddrdrrddlllluululdddrudlrludrudrrurrlululullrlrdurrrurrddruuuududdrddrdlduulrlrlrlllururrrdldrludruduuudlrddduldudduruulllruuudududududdldrldlludlurrrldrdllulldddllurlurlrurdllrudrddludludrrruldudulludududuurlurldrudrluulddurdlduduruulduururrrlldrdrulrudluluulrddurduddurur
rrrrrrlllldddrrrrrddrruuuuudlrdddddllluullllluuuldddrdrrruuurrrllddddlllldrrrrrrrrlldllllllldrrrrrrr,ddddrddddldrrrrrrruurruuuuuuudddddlluullllluuurrrrllllldddrdddddrrrruurruruuuulrddddllllllddrruuuuurrlllddlrdduurr,rddruurrrrllrrlrllrllrrllrlllrrlddddluluuddduurudluudrduulrddduurldulrdludruduurlldrlddrldrdrdldrrrdldlulldrlrludrludruurdrrrrulurruulllldrdludllududrurllrlddddlruuuurrdluururrrurdlulldrluddurludldrldludrlrrrrrrrdldlddlllrluurddurluddulluruuurrldurlurldudluldrldldrluddrdulddrrurldrllrrrlluurruldrdruurulrruuuuudlrddduududuulrududlrlrudududddduddlrdd
drrrrurrrrrdllulldldlllldrrrruuurrrrddruulllllddddlllldrrrrrudrrurrdldlllllllldrrrrrrurrrldullddlllllldrrrrruuurrrdddr,dddddddddrrrrruuurrrdddrluuuruulldlluluuuurrrrrddlululldlllldddddddrrrrruuurrllllluuuldddddrrul,drrdddrruuuurdllddllddrrdrrrdlddlluldluldrlrlrruuulldrurluluuurdldurudrlrrlrlrrddrudrrdrurullrrddulddddrlrluuddrlrludrlrluudduuuduudllulrdddudllulrlulrllldrrrdruldlulrludluurdddudduuuruuulrdullurdududuulrlrluddrdlrulrdlrruuldldururldluuddrrdddddrlllurdlddrudrudrulruuruudlruulllldddruddrdlulrrrlulurrrdluldlrrdlrulldrdlluurdlddudrrrlllrrrrrluudurrldrudlruduluulrldlurlrldrurldrulllrlrdrlurdrldruudlruuludlrllrdlurudlrrulruurldudldlrdlrldluulrdldrlrrdrdrlrdrrlrlllrdllruulrruurrldurrldrurlrdulududlrllldldllrulrldrldlrldudrlrlrlrlrlrlurdrlurdllrlurdlrludrludurldurludududrdlruruddudludrllururdurrurdlddrulrdudurlurudldrlrulllllldrluuududrudlrurluddlddurlruruurluldlrlrudduuuudlurdddrurududrlluulrdurlrdrlrdlrddululrdrldulrrdulrlldulurddllddudururdlududrrdurrlrrldllrdlrulrudrrdudlrudluluruuddldllluluurrullrluurldurdrulrlldrdlddurddrdrululludduuudrrudrlulrdddrlrldlrdulrluuldrulddddrrllrududulududdrrllrudlrluuurrlurruurdlruddurdulrdduuldddlldrdrrlrulduduurdluurludrllrrduuullddrrrrlduuldddudlrudlullrldrulrrduldduudlllruurulduddrduudllrrrddrlluurudddllrrludururrrdududldurllldluldulrluddrludrlurudrdrludlluurdurlludrddrllurdrrudulldrlrrrlrudulluududdurrrdduuldldrlrrululdrrrulullllrdldrrllldrlurluuduurulrrulrlrudrrlulrduldulrllrrllrrurllrdudrulduddrududldluluurdudddduldurruulldurrdudrrludlrdludrurduddrulluddrrdrrldlulllruurlduddduldrrulrrlrrdurllduddrldlrllulrdudrrllrllurlurduudrddrululrdrdlurulrrdullrlulduruuludlrlrrlrduuuduuduududrlrlldrlllldddrrruuluullrdulrdldrdluuduudrlduudududrdldururldluduuududrddlrdluuuudrdlduurrlrlrrdllurdluddudldrulddrludrrduuldldrdudrlrdlrulurruddrluuuurlrddddddurdurulrdlldruudduuuuluddrrdurudlrrrllldduuurudurrdududlurlrdlrdlurudulrdlrllurrlddlrudduluurlrrddudululdurrlrddldurudlrlurulduddluldlrlldlulrlrdddllurdududrlrrlllurrrudullrlruldrldrrdudurdllrurruuulddruulluullruduruudurrrdrdruul
