snake_path,spiral_path,random_walk_path
rrrrrdddddrrrruuuuuddddddllddlldlluuuuuuuurlllldrrrrrrrldlllllldrrrrdlllldrrrrurrrrddlddllllluulldrdrrrrrrrrlllllllll,rrrrrdddddrrrruuuuuddddddlldddrrllllllllluuuuuuuurrrrddddrrrrddldlldllulluuuuuurrrrrrldlllddddluuuurrddd,drdruurrrddrrldllulurrdllddrrdlldllddrurddrrurrdrrlllludurldrudlrlruduldurlrldrludurlrdrrluurululllduulldllddddrrurlrdudrrrlllrrurduldurdudrllurlrlrrdllrrrlrllruldrrrllllurdurldlurdlrlurduruduurrullrruuuuudddduuduudddddulrdllrrlrlldrlddlrlurlrdrrlrlrlrllrrlrlluduldurldlurrududldrrrllullrldudrludrrrrlrlrlllrlrlrlrudllrrlludlluuldrdrrudurduruurlulllrududuurlluddruruluuddllulrdldlluurudrdlluudurdurlldrulrrlduddluuddrruduudurdurldurlrrdlrudulrllldulrllrrddlluurddlurludrulrdlrrduurdduddlrdulurlrrddurddrllruurlddrrddrlrlurlrluddurlrulrdududldurruuudddldurulruududduuuuudduudduudduuddduuddddudllrrldrlruudduuduuduuddududdududdlrldluulrrllrrrdulrdlludullrlrluurlduudrluduuullldrlludludrdurlldrrllddr
rrrrrrrrrdllllllllldrrrrrrrrrdllllllulldldruurrddrrrrrrdlllllluuullldddduuuurrrrrddddrrrrdlulldldlluddrruuuuuuulllllddddduuuuurrrrrrdddddduurrrddduuullldddllll,ddddddduuuruurrrrddddddlldlrrrruuurrrddduuuuuuuuulllllllldrrrrrrrddddddulllddlludrruuurruuuldlllddrurr,rrrddrdrruuldddrdrdrruuuuuuldldrddluuuullldllldddluuuudruddrlrrdddrrddrddluldluuddlrlrrulrludduudrlududrruurdddulllduudududdrlurlrdlurdlurdrudrulrduduuuuldrrlrrdrdduududuuluulrruuuullrrduldrdlduurdlluurrddulllduulrlrddlluruldrurrllrdudurdlrlrrrdluulrdrudlulrrlldlldddlrrdlrldrrudldlddudllurdluuddlrlrrrlrlrrlludlrurlrllrrururlduluduuruluddrlduruddllrddruurrdrdulurllrlduuddlullluduuddrlrudurudldlurrrudrldllrrdlulrrdrruurulurlurudulllldrrdlrrludrulduudddullldruruldrurrddddddrudlruuuuuuuddduddlddrluudllulduruuurdddudddluudruulrrrllrdluuddrrdllrdduulurdllludrdlrldudurduldduudrluulrllurrdurrduruuudlrrludruullllrrrlrrdlrlurdduddudlurdddlrllllrllrluududrrulruludrrlduurdduurrudulrdulldrrllrldlddrullllrdluudrduuullrurdudludddrlddruldrrduurdrrlrdlullddrdludldrurlrlrduudulruldrldldulrrlludrlrrllrldlrlrudlrlrrlurrllrdrruuurlududlurululululuddurdddrldrlrludrruurlurururlrdulldddrdldrrllurlulddururuluddlddrdrulrdlrlrllrurdludddlldruudlludrdlududrurlruurdududuldrlrurrrulludrduruulrlruddddullruludurrlurudlrudlurudldlrllrulddrulllrlrruududdddruruududurduddldddrddduduululldddluruldldrrudlruduldrulurluudurrllullduduuruldrlrduullulddlrururdddrruddrrudrurudldldrluudrrlurddlrddduduulrlrdududduduuuudulrudludlrdulrddrluuudurudulluldurrrudldulurlllrdrddludllruddduuullddudrluuuludldlurlddddd
dddddddddruluuuruuuuurdddddrrddllrruruulluuuurdddrrrddddddllrrruuuuuuullluurdddddduuuuuurlddrrrddddddduuuuuuuu,dddddddddruluuurrrrrrrddddllrrrruuuuuuuudllluurllllllddddrrrrrrrdddduuuuullluulllddrrddddllrruuuuulrrddddr,rrrdldldldddddrdluuuurruurrruuldlrddrdruuurrrdldrddldldrdruudduudduludruduluuluuuluurllldllllduurrlddddlduuurudulrdulrlrudrrllrdrlullrrdllururddlrddrdrdrrrrurulllrduduuuldrurldllrudrdurlluldulldrldudrrrdulrdludullldrlludrrlurrdrrudrrrluullulrllddrddldllrrlrlruulrurrrllrrrrduuuuddlurlrdlldlduluuddddrludlruulrdruudrrlrlrrluludrlurlrlrlddludurudududurdrldrddlldddll
rrrrrrrrrdllllllllldrrurrdrrrrrdllllluullddllduuurrrrdddrrrrrdlllluuuulllllddddrdluuuuurrrrrdddddlrrrrrdlllluuuuuulllllddddddrrluuluuuurrrrrddddddddlludrrurrrllldllll,rrrrrrrrrdddddddllllddllllrrrruuuuuuuulllllddddddruuluurururrrrrrdddddddllldlludrruuuruuuullrrrdddduullluuullddllddrddrluuluuuurrrrrdddddl,rrdrurddddrrddlurrdddruruluulurrddlulluulddluururrdrruuldddldurrdulruuullllrlrlldlrdrdrduulluludruddurullrdudlullddldddrddrllududuruldruldruluddurlduddruudlurluddrdludruuduluurrududuulldrrulluddurduddurdudluuddrlurluuddlrrdullduduuudurdlrrdlluuddddddduudduruldduuddudrludrudrluuddrluudlududrlrudlrlrdulurddrlrlrlluduruddrlrlluruluuududdurlrulrulrddruluurrdrulllrrlrrldllldrudldrurdlurdllrruuldudldrurlluudrurdurlrdldudlduudrldrlruduuulrddurlrlddlrllduuruduuldurdulrrdurrrldrdrlluurldulldrurddululldlddduuurddrlururldurulllrlrddruulldrrdlududrurlruldrlddudlurduldrluuurdrrrrdrurrlrudulrdudulrddduduudlrlddduduldrdrulduruulurldduurldrlldrdddurldrldlllurrrdulurdludrldlurludullruuulurdrrurullullddduudurlrlrdrdurluulldrurdrulrldurrrldlrurdllulrrldrdruduulrldlrduulduddllrluurdlurrrddurddddllurldruruuuudduudllrddluulrrrddudlrldllrrudulullrrrdudrludurddldrlulrrududddudlllldulrdulrlrrudrrrdluuldduuuurdddrldluruurlruddullldururulrdlrdlrrlllrdluurdrllrdrurdlullluruulddurudrrduuudurdddulrlrudduuullrlrddduuludldllrrlddludrurduddrrluuuulrulrrrlllrddlldldrlrrrddudrdrulduldlurlluuurlrdluurdlduuurddrdrlduurdrldrdlldrurllullrrrdldldrlulddllllrru
dddddduruuuurrrrrddddlddddlllllrrrrrruuuruuuuuullllllrddddddrduluuuruurrrrrddddddlddruruuuuuuuulrddddddddd,rrrrrrrrrdddddddddlllllllllrrrrruuuuruuuullllllddddduruuurrurrrrrdddddddlluuruuuuddddduuuuuullllddldddrd,ddrrdldrdllduuuudddduurluuruurdrddlrluuldurdlrdrlluuulrdudrurrrdrdrdldrdllddrrddlllllllrrrrrurdurruruuuluurdduuuuldlulddrldrlurddlddrrurludrddddlududulrrulruudllrruduuulddudlurrddduduluuruulduuludrdurddlululddruduluulldlllulddrlurrurdrlrrllrudlrulrdudulddurrruddrldduruudldrdrulrdlldldurdlddruduulddrldrrududrudrudlrlrluldrrllrluuullurddudrlrururlududruludlruuuddudrlrddlululduddurlurrluurdduldlduuurlrdrdrdldldduldudddllllllrrlrllrlrlrlrrrrrururdrdrlulurrudllrlllruuldudurlrrrrudlduludrrlrdddlrllrlldudrlurrudruuudldddludluuldurduuuuurrdullrrrluruuduldurdulldurrddllddldrrdrlddrudduuulrdduulrdllrluulurduuuluddrrrlrldlrdudrdudullulrlrlddurururddududldldulrrulllddrldrruurrdudlrdduuudlddlrurdllluurludrdrrullllddrllrlrudrurrrlrduudduulduudududrlddruudduulrdluduruuldlrlddlldllrrudllllrrrlllrrrlllrrllrrrrllllrllrlrlrrrlrllrlrlrllrrrlrrlrlllrlrlrllrrllrlrlrlrlrlrrrrllllrlrrrlrrrllrlllrrlrlrlrlllrlrlrlrlrrlrlrlrrllrllrlrlrrrlrlrlrlrlrrrrlrruruludrllrdlruluulruuurluruddlurlrdrurldddlrdruludrlrddudldrdudlrldruuulrlruuuuudldlrluddrdruldrddudludruuddlruulrlrlluuululudrlullllrrdurrdruldlrudurllrdrllrurddulrlrdrdlududddrdlulrlrurlurlrdrdruuudddddudludulrluuluuulrlrulrlrllllllrdrldruulrllrrlddldudrlrurrdldllruurulrlrdurddllrdldrdrd
ddddddrdddruuuuluuuuurrrrrddlllddlrrrrrrdddllllldduuudrdrrrrruuuuulllllldlddrdrddrrrruuuuulldluuurruurddrddddddduuuuuuuuu,rrrrrrrrrdddddddddlllllllluuuluuuuurdddrruurrrurrdddddddlllllluuulurrrurrruddrdddllllluluurrrrdl,ddddddrruluuuuurrrrrdrddllldlllrddrdrrrrdldluldlluulddudrluurludddurrrrlrulldurlrdluluududdrrludrdrdrrruuurdddullrlulldlrudldlrlluldrulrdluururldlulrrrdrrdudrdrullrdrrrulrldrllrrlulldlluulduuldurddldrulrdlruldrurrrrdlurlrdrurdlruuluurulllldrlrudlrlrlududrurrurulurullrrddullldllld
rlddrrrrururrrrlldllldddddrdrrruuurudddddllllluluuuurrrlllllldrrdlldrrdlldrrrdrrrrrrlllllllll,rlddrrrrururrrrlldllldddddrdrrruuuruddddddllllllllluuuuuurrrddddrdrrrrllllllluuuurddduuuurrrr,rlddrdldrruurrdldrddrdddlllluldrluurrrrdllluurrullldddduurrurrudududuuldrdulurllrudluurddurrrlrlrlluururdrurrlrlrlldurllrlrldudlruldlrurdudllddddlrudulrurrlludrlrlrlrlulrdududullrdurdrrlldurlulddlrdulurudddludrrddrrddrurrdluuuuuruddddduuluudurududdduldrudldl
rrrrrrrrrdllllllllldrrrrrrrrrdulldlllulldlldrruurrrddrdrdlluuuullldddllduuuurrrrrddddlldrrrrrululuuullllllddddddrluuuuuurrrrrddddddldrrurrrdlluuuuluuulllllldddddddr,rrrrrrrrrdddullldddrdrddrdllllluuuruuuulllllddddddrdluuuuruuuulrrrrrrrrlddlddddrdllullurruuulullddd,rrrrdrrrrdldldldrrdrdddlullurulldlurrldddrruruurdudululudddlllrddurlduulurrlldurldrurdrrruddrdudllludluldrluruddrlrulurrrulrdddurldlrurdlrudlludlllrruuuddrrrdllulldurlluuldudurrlrduuddururdudllllrldrururldldludrlruldurldrludurdrrrddulrlruddrudlrlrlruldllruluulldrurrddulullrldurlrldrurlddulrrlulrrdludulrlrrlrlldrdudduururdldrruddllurrrldlludlududrudludruduluudlrudlrlrludrurudlrlldudrlrrlrlduuldruruuuurddldurdululululllddrurdddllddddrududluuudduududddrulrduluddruduluddrluuuuurulrlddruuulrlrdlrlrdlrrduuuddldrlruuurlruldduurldrurllrrurrrrrddd
rrrrrrrrrdllllllllldrrrrrrrrrdlllllullldlduurrrrddrrrrrdllllluuullllddddrluuuurrrrddddrurrrrddlllrrruuuuullllllllldddddrdldrrrurdllluuuluuuurrrrrrrrrddddddlrduuuuuuulllllllllddddrdddrrrrr,dddddddddrrrrrrllllluuuluuururrrrrrrrddddddduuuuluuuurulllllllldldddddrdddrrurldlluuuluuuuurrrrrrrddddrrddldullrrruullluulldddruu,ddrdlddddrdldrrrruldudrrrllrrlllllrrrlrrrlrlrlllrrludrrlrllrlrrlrlrlrlrllrlrrlrllrlllrurldlrrrrlrlrlrlrllrrlrllrrlrlrlludulrldurdrluldudurdrrlrllrrlllrlrlrrllllrrlrudlllurlrduuulrlrduddduluudrldrldrrrllrlrluudlduruduudlrduudlrdduldudrudrlrrllrrrulrldududlluduluudrludurlduuddrddluudrdrrllulrluruluuddduduududdudduuduuuuduuruurddrurdrrdrrdlllulddrrrrruuululddrdllrllrlddlruruuluururrrdldrdlrldudurddddlllrrdrdulullrrdrduuldrudullrdudrduduludududullrlrrdrulrddulrudlrduuduuduulrllruluuuudllull
dddddddddruluuruuluuruurddllddrrdlldddrrdruudllluuurrrullluuuurrrrrddlruulllllddddrrrrdlllldddrrrdrlullluuurrrrrdduululllluuuurrrrrrdullllllddddrrrrdrdrruuulrrddddlldrdruruullllululllluuuurrrrrrrrllllllllddddrrrrdrdrrurruuulrddddddduuullllululllluuuurrrrrrrrr,rrrrrrrrrllllllldlldddrrrrdrdrruuururdddddddlluulluullllldddrrrdrlllluuuuuuurruurrrdrullllllddddrrrrdrdrrruuddddlluulullllduuluuuurrrrrddlruulllllddddddddrrrudllluuurrrrrdrruuul,ddddrrdrurdrddrdrrruuuuldddluuuurruldudruduldrulrdlrlrddlduduurddulluddlldudrlruddrdrrudlruudlluuddrlrudrlurldurllullulrludlrudulrlrdlrlrrlrlrllududlldlddrrruddlllududrlrrrrlllluuduuudruudrurrdrludluduldrludrllrrulrdruldlldldurluurdrulrllddurrurdrlrudllrurduldrrlulllrdrruduldlurrlllluurururrrdrurrrlllrlrrlldldlrlruurduldurllrlrdrudulrllllldurlddrulrurldduurrrdrurrrlrllldldlrururrlrrlrlrlrlrllrlldulrdldlrlrururrlrrllrlrrlrlrlrlllldudurrlrrlrrlrlrlrllrrllrlrrlrllrrlrlrlrlrlllrlldrldlrurulrdurrlrrllrrlrllllrdldlrlrurulrrrlrrlrlrllrrllllddlrudlrudlrlruullllrdldrlrlldururdlrulurrllrlrdlurdldlrrlrlurudldlrlurrdudllrrulrurllddrllduddudrldrdluuddrldddurrdrlulluuruuldduduurdlrdlddrdludurdrllrudlrudludurdrllurluduurluurrrrllrlrdurdudrddrrllrluulllrudurlrdllurldlrrrulduldrlldudurlldddrluurlrudludrlddrluurluddduuurdurrrlruldrulrllldrurdlurldrlrurlrlrlrdlllulrrrlrrdududrlrllrrduludllrrrdduudullrrddududurrrldrruulddlruldrludlrlrdrduruuldddlululrurllduuludlurdrdrrruuurulrlddlrruulrlrdulrdduddddduduldudldruurlrdduudldrluruddlrudulruuudldlddrlrrlludrrlrlrlullrrruudulrululul
