index,size,seed,open_cells,start_row,start_col,end_row,end_col,moves,overlaps,path,grid,image,source,source_id,user,config_id,config_label,move_fraction_u,move_fraction_d,move_fraction_l,move_fraction_r,turn_rate,mean_run_length,max_run_length,min_run_length,run_length_std,cluster,cluster_distance,cluster_rank,projection_x,projection_y,image_href
49,14,3,160,0,0,7,13,170,11,rrrrrrlldlllldrrrrrdllllldrrrrrdllllldrrdrurrdldrdldrdllullldrrdlldrrrurdrurdrrrrrrruuuudddllllllurrrrlullllduurrrurrlllllurrrulllurrullururduuurddruurrrdlldrrdlldlrrrddd,11111110111111/11111000111111/11111101111111/11111111100111/11111111101111/11111111100001/11111111110001/00111111110001/00001111111100/00001111110001/11111111111001/11111111111101/11111111111111/11111111111111,human_images/human_config3_attempt0049.svg,human,human-49,z7xngq,3,config 3,0.1411764705882353,0.1823529411764705,0.3,0.3764705882352941,0.5088757396449705,1.9540229885057472,7.0,1.0,1.4296374106424012,0,2.3048,1,2.10868,-3.35763,../../human_images/human_config3_attempt0049.svg
56,14,3,160,0,0,7,13,172,13,rrrrrrlldlllldrrrrrdllllldrrrrrdllllldrrdrurdrurddlldrrdlllllldrrrrrrdlllllldrrrrrrrrrrrrruuuudddllllllurrrrlulllurrurrlllllurrrullurllurrullruruurddruurddddlrruuuurddddddd,11111110111111/11111000111111/11111101111111/11111111100111/11111111101111/11111111100001/11111111110001/00111111110001/00001111111100/00001111110001/11111111111001/11111111111101/11111111111111/11111111111111,human_images/human_config3_attempt0056.svg,human,human-56,espazt,3,config 3,0.1395348837209302,0.1802325581395348,0.3023255813953488,0.377906976744186,0.4210526315789473,2.356164383561644,13.0,1.0,2.102639326504098,0,3.6162,2,2.53924,-4.10475,../../human_images/human_config3_attempt0056.svg
37,14,3,160,0,0,7,13,174,15,rrrrrrlldlllldrrrrrdllllldrrrrrdllllldrrdrrdddlllldddrrulurrddruurddrrrrrrrruuuudddlluldluldlulduulrrrrrluurrllldlllurrurrullllllrrdruuuurddruuulruurddruurrrdlldrrdlldlrrrddd,11111110111111/11111000111111/11111101111111/11111111100111/11111111101111/11111111100001/11111111110001/00111111110001/00001111111100/00001111110001/11111111111001/11111111111101/11111111111111/11111111111111,human_images/human_config3_attempt0037.svg,human,human-37,6mncs5,3,config 3,0.1666666666666666,0.2068965517241379,0.2758620689655172,0.3505747126436782,0.4855491329479768,2.0470588235294116,8.0,1.0,1.4544526551082906,0,4.7193,3,3.04842,-1.40879,../../human_images/human_config3_attempt0037.svg
75,14,3,160,0,0,1,12,179,20,rrrrrrlldlllldrrrrrdllllldddruurdddruuurddddddlllldddruurdrldruurddruuuuuuuuuruddddddddddrrrrrrruuuudddllulduuldldrlluurlurrurrllllurrullurulurulrrluurdrurrrddddddduuulllrurullurr,11111110111111/11111000111111/11111101111111/11111111100111/11111111101111/11111111100001/11111111110001/00111111110001/00001111111100/00001111110001/11111111111001/11111111111101/11111111111111/11111111111111,human_images/human_config3_attempt0075.svg,human,human-75,02q6hy,3,config 3,0.2513966480446927,0.2569832402234637,0.2122905027932961,0.2793296089385474,0.4831460674157303,2.057471264367816,10.0,1.0,1.8153643238988164,0,8.3809,4,2.60184,-4.68343,../../human_images/human_config3_attempt0075.svg
42,14,3,160,0,0,2,11,173,14,rrrrrrlldlllldddddrrdrrdddlllldddrrrrrrrrrrrrruuuudddllllllllllllurrrrrrrrrrlulllllurrrrurrllllllurrrrullllllulluuurddrrdrrrrulllullurrdrrurduuurrrrrddddddduuulllruruullldrr,11111110111111/11111000111111/11111101111111/11111111100111/11111111101111/11111111100001/11111111110001/00111111110001/00001111111100/00001111110001/11111111111001/11111111111101/11111111111111/11111111111111,human_images/human_config3_attempt0042.svg,human,human-42,zizsmx,3,config 3,0.1560693641618497,0.1676300578034682,0.3063583815028902,0.3699421965317919,0.3430232558139535,2.8833333333333333,13.0,1.0,2.5631469373062137,1,3.5005,1,6.57821,4.23415,../../human_images/human_config3_attempt0042.svg
67,14,3,160,0,0,7,13,172,13,ddddddrrdrrdddlllldddrrrrrrrrrrrrruuuudddllllllllllllurrrrrrrrrrlulllllurrrrurrllllllurrrrulllllllluuuuuurdddddrrrrrrullllluuuurrrllddrldrrrurduuurrrrrdlllldrrrrdlldlrrrddd,11111110111111/11111000111111/11111101111111/11111111100111/11111111101111/11111111100001/11111111110001/00111111110001/00001111111100/00001111110001/11111111111001/11111111111101/11111111111111/11111111111111,human_images/human_config3_attempt0067.svg,human,human-67,nnqd8q,3,config 3,0.1453488372093023,0.1860465116279069,0.2965116279069767,0.3720930232558139,0.3099415204678362,3.185185185185185,13.0,1.0,2.728953632561281,1,5.358,2,10.44826,6.25638,../../human_images/human_config3_attempt0067.svg
63,14,3,160,0,0,0,6,176,17,rrrdllldrrrdllldrrrdllldrrdrurddddlllldddruurddruurddrrrrrullllurrrrrrdldrrurduuuudddllluulllllurrrrurrllllllurrrrullllulurrdrrulruurrrddlrrrddduuuuluruuldluldlulddldlllurluurr,11111110111111/11111000111111/11111101111111/11111111100111/11111111101111/11111111100001/11111111110001/00111111110001/00001111111100/00001111110001/11111111111001/11111111111101/11111111111111/11111111111111,human_images/human_config3_attempt0063.svg,human,human-63,jww8vb,3,config 3,0.1988636363636363,0.1988636363636363,0.2840909090909091,0.3181818181818182,0.52,1.9130434782608696,6.0,1.0,1.2567398637212726,1,7.1571,3,6.31482,1.03736,../../human_images/human_config3_attempt0063.svg
22,14,3,160,0,0,5,1,182,23,rrrrrrllddrdrruruurrrrrddddddduuulllrruuulddullurdllddddrddrrllddrdrdrruuuddddlllllllllllllurrrrrrrrrrullllllllllurrrrrrrruuuluuuulllluullldddddrrdrrddrrruluuuulddddluuuulddluuuulddd,11111110111111/11111000111111/11111101111111/11111111100111/11111111101111/11111111100001/11111111110001/00111111110001/00001111111100/00001111110001/11111111111001/11111111111101/11111111111111/11111111111111,human_images/human_config3_attempt0022.svg,human,human-22,z4siol,3,config 3,0.2142857142857142,0.2417582417582417,0.2692307692307692,0.2747252747252747,0.3701657458563536,2.676470588235294,13.0,1.0,2.3604659090862716,3,9.6733,2,-16.65822,14.20997,../../human_images/human_config3_attempt0022.svg
50,14,3,160,0,0,6,7,177,18,rrrrrrlldlllldddddruuuurrrrdlllddddruuurrrururuurrrrrdlllldrrrrddddduuulllrrululllddldrdrddrrllddrdrdrruuuddddlllllllllllllurrrrrrrrrrullllllllllurrrrrrrrullllurrrrulllluurdrudr,11111110111111/11111000111111/11111101111111/11111111100111/11111111101111/11111111100001/11111111110001/00111111110001/00001111111100/00001111110001/11111111111001/11111111111101/11111111111111/11111111111111,human_images/human_config3_attempt0050.svg,human,human-50,rxswju,3,config 3,0.1581920903954802,0.192090395480226,0.3050847457627119,0.3446327683615819,0.3863636363636363,2.5652173913043477,13.0,1.0,2.3681354548359694,3,9.6733,1,-18.13749,1.65787,../../human_images/human_config3_attempt0050.svg
71,14,3,160,0,0,9,13,180,21,rrrrrrlldlllldrrrrrdllllldrrrrdlllldrrdrurdddddlullldrrdlldrrrurdruuuuuuuuurururuurrrrrdllllldrrrrrdlldlrrrddduuuuulllllddldlddddddddruuuuuuurudrddrrllulddrdldrdldrruuudrddrurduuuu,11111110111111/11111000111111/11111101111111/11111111100111/11111111101111/11111111100001/11111111110001/00111111110001/00001111111100/00001111110001/11111111111001/11111111111101/11111111111111/11111111111111,human_images/human_config3_attempt0071.svg,human,human-71,pd8p8o,3,config 3,0.2111111111111111,0.2611111111111111,0.2277777777777777,0.3,0.4804469273743016,2.068965517241379,9.0,1.0,1.766827818164754,2,3.5147,1,-7.33268,-8.13052,../../human_images/human_config3_attempt0071.svg
