index,size,seed,open_cells,start_row,start_col,end_row,end_col,moves,overlaps,path,grid,image,source,source_id,user,config_id,config_label,move_fraction_u,move_fraction_d,move_fraction_l,move_fraction_r,turn_rate,mean_run_length,max_run_length,min_run_length,run_length_std,cluster,cluster_distance,cluster_rank
49,14,3,160,0,0,7,13,170,11,rrrrrrlldlllldrrrrrdllllldrrrrrdllllldrrdrurrdldrdldrdllullldrrdlldrrrurdrurdrrrrrrruuuudddllllllurrrrlullllduurrrurrlllllurrrulllurrullururduuurddruurrrdlldrrdlldlrrrddd,11111110111111/11111000111111/11111101111111/11111111100111/11111111101111/11111111100001/11111111110001/00111111110001/00001111111100/00001111110001/11111111111001/11111111111101/11111111111111/11111111111111,human_images/human_config3_attempt0049.svg,human,human-49,z7xngq,3,config 3,0.1411764705882353,0.18235294117647058,0.3,0.3764705882352941,0.5088757396449705,1.9540229885057472,7.0,1.0,1.4296374106424012,0,2.304813507635755,1
56,14,3,160,0,0,7,13,172,13,rrrrrrlldlllldrrrrrdllllldrrrrrdllllldrrdrurdrurddlldrrdlllllldrrrrrrdlllllldrrrrrrrrrrrrruuuudddllllllurrrrlulllurrurrlllllurrrullurllurrullruruurddruurddddlrruuuurddddddd,11111110111111/11111000111111/11111101111111/11111111100111/11111111101111/11111111100001/11111111110001/00111111110001/00001111111100/00001111110001/11111111111001/11111111111101/11111111111111/11111111111111,human_images/human_config3_attempt0056.svg,human,human-56,espazt,3,config 3,0.13953488372093023,0.18023255813953487,0.3023255813953488,0.37790697674418605,0.42105263157894735,2.356164383561644,13.0,1.0,2.102639326504098,0,3.6162298997592175,2
37,14,3,160,0,0,7,13,174,15,rrrrrrlldlllldrrrrrdllllldrrrrrdllllldrrdrrdddlllldddrrulurrddruurddrrrrrrrruuuudddlluldluldlulduulrrrrrluurrllldlllurrurrullllllrrdruuuurddruuulruurddruurrrdlldrrdlldlrrrddd,11111110111111/11111000111111/11111101111111/11111111100111/11111111101111/11111111100001/11111111110001/00111111110001/00001111111100/00001111110001/11111111111001/11111111111101/11111111111111/11111111111111,human_images/human_config3_attempt0037.svg,human,human-37,6mncs5,3,config 3,0.16666666666666666,0.20689655172413793,0.27586206896551724,0.3505747126436782,0.48554913294797686,2.0470588235294116,8.0,1.0,1.4544526551082906,0,4.719301384044024,3
75,14,3,160,0,0,1,12,179,20,rrrrrrlldlllldrrrrrdllllldddruurdddruuurddddddlllldddruurdrldruurddruuuuuuuuuruddddddddddrrrrrrruuuudddllulduuldldrlluurlurrurrllllurrullurulurulrrluurdrurrrddddddduuulllrurullurr,11111110111111/11111000111111/11111101111111/11111111100111/11111111101111/11111111100001/11111111110001/00111111110001/00001111111100/00001111110001/11111111111001/11111111111101/11111111111111/11111111111111,human_images/human_config3_attempt0075.svg,human,human-75,02q6hy,3,config 3,0.25139664804469275,0.2569832402234637,0.2122905027932961,0.27932960893854747,0.48314606741573035,2.057471264367816,10.0,1.0,1.8153643238988164,0,8.380853211612887,4
42,14,3,160,0,0,2,11,173,14,rrrrrrlldlllldddddrrdrrdddlllldddrrrrrrrrrrrrruuuudddllllllllllllurrrrrrrrrrlulllllurrrrurrllllllurrrrullllllulluuurddrrdrrrrulllullurrdrrurduuurrrrrddddddduuulllruruullldrr,11111110111111/11111000111111/11111101111111/11111111100111/11111111101111/11111111100001/11111111110001/00111111110001/00001111111100/00001111110001/11111111111001/11111111111101/11111111111111/11111111111111,human_images/human_config3_attempt0042.svg,human,human-42,zizsmx,3,config 3,0.15606936416184972,0.1676300578034682,0.3063583815028902,0.3699421965317919,0.3430232558139535,2.8833333333333333,13.0,1.0,2.5631469373062137,1,3.500534949483678,1
67,14,3,160,0,0,7,13,172,13,ddddddrrdrrdddlllldddrrrrrrrrrrrrruuuudddllllllllllllurrrrrrrrrrlulllllurrrrurrllllllurrrrulllllllluuuuuurdddddrrrrrrullllluuuurrrllddrldrrrurduuurrrrrdlllldrrrrdlldlrrrddd,11111110111111/11111000111111/11111101111111/11111111100111/11111111101111/11111111100001/11111111110001/00111111110001/00001111111100/00001111110001/11111111111001/11111111111101/11111111111111/11111111111111,human_images/human_config3_attempt0067.svg,human,human-67,nnqd8q,3,config 3,0.14534883720930233,0.18604651162790697,0.29651162790697677,0.37209302325581395,0.30994152046783624,3.185185185185185,13.0,1.0,2.728953632561281,1,5.357968300574209,2
63,14,3,160,0,0,0,6,176,17,rrrdllldrrrdllldrrrdllldrrdrurddddlllldddruurddruurddrrrrrullllurrrrrrdldrrurduuuudddllluulllllurrrrurrllllllurrrrullllulurrdrrulruurrrddlrrrddduuuuluruuldluldlulddldlllurluurr,11111110111111/11111000111111/11111101111111/11111111100111/11111111101111/11111111100001/11111111110001/00111111110001/00001111111100/00001111110001/11111111111001/11111111111101/11111111111111/11111111111111,human_images/human_config3_attempt0063.svg,human,human-63,jww8vb,3,config 3,0.19886363636363635,0.19886363636363635,0.2840909090909091,0.3181818181818182,0.52,1.9130434782608696,6.0,1.0,1.2567398637212726,1,7.157078826005098,3
22,14,3,160,0,0,5,1,182,23,rrrrrrllddrdrruruurrrrrddddddduuulllrruuulddullurdllddddrddrrllddrdrdrruuuddddlllllllllllllurrrrrrrrrrullllllllllurrrrrrrruuuluuuulllluullldddddrrdrrddrrruluuuulddddluuuulddluuuulddd,11111110111111/11111000111111/11111101111111/11111111100111/11111111101111/11111111100001/11111111110001/00111111110001/00001111111100/00001111110001/11111111111001/11111111111101/11111111111111/11111111111111,human_images/human_config3_attempt0022.svg,human,human-22,z4siol,3,config 3,0.21428571428571427,0.24175824175824176,0.2692307692307692,0.27472527472527475,0.3701657458563536,2.676470588235294,13.0,1.0,2.3604659090862716,2,9.673326235418251,1
50,14,3,160,0,0,6,7,177,18,rrrrrrlldlllldddddruuuurrrrdlllddddruuurrrururuurrrrrdlllldrrrrddddduuulllrrululllddldrdrddrrllddrdrdrruuuddddlllllllllllllurrrrrrrrrrullllllllllurrrrrrrrullllurrrrulllluurdrudr,11111110111111/11111000111111/11111101111111/11111111100111/11111111101111/11111111100001/11111111110001/00111111110001/00001111111100/00001111110001/11111111111001/11111111111101/11111111111111/11111111111111,human_images/human_config3_attempt0050.svg,human,human-50,rxswju,3,config 3,0.15819209039548024,0.192090395480226,0.3050847457627119,0.3446327683615819,0.38636363636363635,2.5652173913043477,13.0,1.0,2.3681354548359694,2,9.673326235418251,2
71,14,3,160,0,0,9,13,180,21,rrrrrrlldlllldrrrrrdllllldrrrrdlllldrrdrurdddddlullldrrdlldrrrurdruuuuuuuuurururuurrrrrdllllldrrrrrdlldlrrrddduuuuulllllddldlddddddddruuuuuuurudrddrrllulddrdldrdldrruuudrddrurduuuu,11111110111111/11111000111111/11111101111111/11111111100111/11111111101111/11111111100001/11111111110001/00111111110001/00001111111100/00001111110001/11111111111001/11111111111101/11111111111111/11111111111111,human_images/human_config3_attempt0071.svg,human,human-71,pd8p8o,3,config 3,0.2111111111111111,0.2611111111111111,0.22777777777777777,0.3,0.48044692737430167,2.0689655172413794,9.0,1.0,1.766827818164754,3,3.5146695929420955,1
29,14,3,160,0,0,9,13,176,17,rrrrrrlldlllldrrrrrdllllldddruurdddruuurdddddddulllldddruurddruurddruuuuuuuuuurddddddddddruuuuuuuuuuuruurrrrrddddddduuulllrrulurulldluldddddrdldrrrlldldrrdrllllrddrurdrurdruuuu,11111110111111/11111000111111/11111101111111/11111111100111/11111111101111/11111111100001/11111111110001/00111111110001/00001111111100/00001111110001/11111111111001/11111111111101/11111111111111/11111111111111,human_images/human_config3_attempt0029.svg,human,human-29,02w4ix,3,config 3,0.26136363636363635,0.3125,0.17613636363636365,0.25,0.4342857142857143,2.2857142857142856,11.0,1.0,2.197147754710567,3,3.514669592942096,2
30,14,3,160,0,0,8,11,189,30,rrrrrrlldlllldrrrrrdddddddddddllllluuurrrrrrrrrrdddrrruuuudddllulllllllllldrrrrrrrrdllluuuuuuuuuulllllldddrrrrddduulluuuldrrrulrrrruuruurrrrrddddddduuulllrruuullldrrdullldddlddddruuurdddurr,11111110111111/11111000111111/11111101111111/11111111100111/11111111101111/11111111100001/11111111110001/00111111110001/00001111111100/00001111110001/11111111111001/11111111111101/11111111111111/11111111111111,human_images/human_config3_attempt0030.svg,human,human-30,wp57tp,3,config 3,0.20634920634920634,0.24867724867724866,0.24338624338624337,0.30158730158730157,0.30851063829787234,3.2033898305084745,11.0,1.0,2.4755048176623418,4,0.0,1
38,14,3,160,0,0,1,4,195,36,rdldddddrrdrrddddddlllluuurrrddlllrudurrrrddrrrrrrrruuuudddllululuurrlluullllllrrddddrdddrrrrulllurrulluluurrddluuuuruuurrrddlrrrddduuuuuuuldddluuullldrrlldlddldlllllurrrrurllurlllldrruulurrrrlld,11111110111111/11111000111111/11111101111111/11111111100111/11111111101111/11111111100001/11111111110001/00111111110001/00001111111100/00001111110001/11111111111001/11111111111101/11111111111111/11111111111111,human_images/human_config3_attempt0038.svg,human,human-38,nr2iov,3,config 3,0.22564102564102564,0.23076923076923078,0.26153846153846155,0.28205128205128205,0.4484536082474227,2.215909090909091,8.0,1.0,1.48054707054493,5,0.0,1
60,14,3,160,0,0,9,13,206,47,ddddddruuuuuurdddddddruuuuuuurdddddddddddddlllluuurddruurdddrruuuuuuuuuuuluurrllddrdrddddddddddruuuuuuuuuuuruurrrrrdlllldldddddddddddrlruuuuuuuluuuuudrrrrrdlldlrrrddduuuuulllllddddddrrrllddrdddruuddrudruuuu,11111110111111/11111000111111/11111101111111/11111111100111/11111111101111/11111111100001/11111111110001/00111111110001/00001111111100/00001111110001/11111111111001/11111111111101/11111111111111/11111111111111,human_images/human_config3_attempt0060.svg,human,human-60,gi4o94,3,config 3,0.3300970873786408,0.3737864077669903,0.11650485436893204,0.1796116504854369,0.32682926829268294,3.0294117647058822,13.0,1.0,2.900155108606993,6,0.0,1
