index,size,seed,open_cells,start_row,start_col,end_row,end_col,moves,overlaps,path,grid,image,source,source_id,user,config_id,config_label,move_fraction_u,move_fraction_d,move_fraction_l,move_fraction_r,turn_rate,mean_run_length,max_run_length,min_run_length,run_length_std,cluster,cluster_distance,cluster_rank,projection_x,projection_y,image_href
17,7,17,39,0,0,4,6,42,4,ddddddrrrruuluurrruuldlulldrddllddurdrrrru,1011111/1011111/1001111/1111000/1111101/1111111/1111100,images/grid_0017_n7_seed17.svg,optimal,optimal-17,,,,0.2142857142857142,0.3095238095238095,0.1666666666666666,0.3095238095238095,0.5121951219512195,1.9090909090909092,6.0,1.0,1.2759698952380183,0,2.9835,1,1.46793,3.96365,../../images/grid_0017_n7_seed17.svg
588,7,588,41,0,0,6,6,42,2,rdrudddlldddrrulurrrrruuuuldlldrrdlldddrrr,1110011/0111111/0011111/1111111/1111111/1111000/1111111,images/grid_0588_n7_seed588.svg,optimal,optimal-588,,,,0.1666666666666666,0.3095238095238095,0.1904761904761904,0.3333333333333333,0.5121951219512195,1.9090909090909092,5.0,1.0,1.12448335244118,0,3.2115,2,3.21561,3.81606,../../images/grid_0588_n7_seed588.svg
103,7,103,41,0,0,0,6,44,4,ddddddrrrrrruuddlluuulddlluruluuurrdldrrruur,1111011/1111010/1111110/1111100/1111101/1111101/1111111,images/grid_0103_n7_seed103.svg,optimal,optimal-103,,,,0.2727272727272727,0.2727272727272727,0.1590909090909091,0.2954545454545454,0.4651162790697674,2.0952380952380953,6.0,1.0,1.4443572274383902,0,3.316,4,-0.57477,5.05151,../../images/grid_0103_n7_seed103.svg
255,7,255,44,0,0,0,3,43,0,ddddddrrrrrruuuuuuldddlldrrdllllurulurulurr,1111011/1110011/1110011/1111111/1111111/1111111/1111111,images/grid_0255_n7_seed255.svg,optimal,optimal-255,,,,0.2558139534883721,0.2558139534883721,0.2093023255813953,0.2790697674418604,0.4523809523809524,2.15,6.0,1.0,1.796524422322168,0,3.3062,3,-0.94113,4.30184,../../images/grid_0255_n7_seed255.svg
190,7,190,40,0,0,0,6,40,1,rrdlldddddrrrrrruuulddluldlluurdurrurruu,1110001/1110001/1000111/1111111/1111111/1111111/1111111,images/grid_0190_n7_seed190.svg,optimal,optimal-190,,,,0.25,0.25,0.175,0.325,0.5128205128205128,1.9047619047619049,6.0,1.0,1.3058389715049608,0,3.3798,5,2.19427,4.46215,../../images/grid_0190_n7_seed190.svg
76,7,76,39,0,0,0,5,41,3,ddddddrrrrrruululldrdrlllluruulduuurrrdur,1111110/1100100/1110000/1111110/1111111/1111111/1111111,images/grid_0076_n7_seed76.svg,optimal,optimal-76,,,,0.2439024390243902,0.2439024390243902,0.1951219512195122,0.3170731707317073,0.5,1.9523809523809523,6.0,1.0,1.5576597365520115,0,3.3879,6,1.98239,3.98683,../../images/grid_0076_n7_seed76.svg
602,7,602,35,0,0,4,4,36,2,dddrduuuurrrrrddlduullldddddrrrrullu,1111111/1111111/1110011/1110010/0110100/0010111/0011111,images/grid_0602_n7_seed602.svg,optimal,optimal-602,,,,0.2222222222222222,0.3333333333333333,0.1666666666666666,0.2777777777777778,0.4,2.4,5.0,1.0,1.451436070471816,0,3.4171,7,0.10227,4.38269,../../images/grid_0602_n7_seed602.svg
551,7,551,42,1,0,0,5,42,1,dddddrrrrrruuuulldrddluldlluruluurdrduuurr,0001110/1111000/1111111/1111111/1111111/1111111/1111111,images/grid_0551_n7_seed551.svg,optimal,optimal-551,,,,0.2857142857142857,0.2619047619047619,0.1666666666666666,0.2857142857142857,0.5365853658536586,1.826086956521739,6.0,1.0,1.372150768526913,0,3.5665,8,0.97026,2.30454,../../images/grid_0551_n7_seed551.svg
721,7,721,41,0,0,3,6,43,3,ddddddrrrrrrluluuuruurlldlulldddrdldrruurrr,1111111/1101110/1100110/1111111/1111100/1111110/1111111,images/grid_0721_n7_seed721.svg,optimal,optimal-721,,,,0.2093023255813953,0.2790697674418604,0.1860465116279069,0.3255813953488372,0.5,1.9545454545454544,6.0,1.0,1.4609235163625631,0,3.6768,9,0.22117,4.30227,../../images/grid_0721_n7_seed721.svg
704,7,704,41,0,0,3,3,42,2,ddddddrrrrlulluurdrrrruuuullllddrurrddludl,1011111/1011111/1011111/1111111/1111111/1111000/1111100,images/grid_0704_n7_seed704.svg,optimal,optimal-704,,,,0.2142857142857142,0.2857142857142857,0.2142857142857142,0.2857142857142857,0.4634146341463415,2.1,6.0,1.0,1.445683229480096,0,3.6856,10,0.31095,2.55002,../../images/grid_0704_n7_seed704.svg
