index,size,seed,open_cells,start_row,start_col,end_row,end_col,moves,overlaps,path,grid,image,source,source_id,user,config_id,config_label,move_fraction_u,move_fraction_d,move_fraction_l,move_fraction_r,turn_rate,mean_run_length,max_run_length,min_run_length,run_length_std,cluster,cluster_distance,cluster_rank
346,7,346,42,0,0,6,6,42,1,ddddddrrrrullluuurudrdldrruuuurrdldrdldddr,1000111/1010111/1111111/1111111/1111110/1111110/1111111,images/grid_0346_n7_seed346.svg,optimal,optimal-346,,,,0.21428571428571427,0.35714285714285715,0.14285714285714285,0.2857142857142857,0.5365853658536586,1.826086956521739,6.0,1.0,1.34009000064543,0,8.467445404718706,309
857,7,857,39,0,0,0,3,39,1,rdldrdldddrrrrruruuldldlllurrruurruulll,1101111/1100001/1100111/1100111/1111111/1111111/1111110,images/grid_0857_n7_seed857.svg,optimal,optimal-857,,,,0.20512820512820512,0.20512820512820512,0.2564102564102564,0.3333333333333333,0.5789473684210527,1.6956521739130435,5.0,1.0,1.0398487602696866,0,8.50256536448885,310
884,7,884,43,0,0,6,6,42,0,ddddrddrrulurrrulllluuurrrrrdlllldrrrrdddd,1111111/1111111/1111111/1111111/1111111/0111001/0111001,images/grid_0884_n7_seed884.svg,optimal,optimal-884,,,,0.14285714285714285,0.2857142857142857,0.21428571428571427,0.35714285714285715,0.3902439024390244,2.4705882352941178,5.0,1.0,1.419098597860567,0,8.519225396672537,311
932,7,932,42,0,0,1,5,42,1,ddddddrrrrurululddllurulururllurrrrrdddluu,1111111/1111011/1110011/1111111/1111110/1111110/1111100,images/grid_0932_n7_seed932.svg,optimal,optimal-932,,,,0.23809523809523808,0.2619047619047619,0.19047619047619047,0.30952380952380953,0.5609756097560976,1.75,6.0,1.0,1.3616778865306827,0,8.53601121151403,312
636,7,636,43,0,0,0,6,46,4,ddddddrrrrrruuuudddlluuululddrddlulduuuuurrrrr,1111111/1111000/1111101/1111101/1111101/1111111/1111111,images/grid_0636_n7_seed636.svg,optimal,optimal-636,,,,0.30434782608695654,0.30434782608695654,0.13043478260869565,0.2608695652173913,0.37777777777777777,2.5555555555555554,6.0,1.0,1.8019194155807616,0,8.57444929143278,313
753,7,753,42,0,0,4,0,42,1,rrrrrrddddddlllurrululurrduulllllddrdddluu,1111111/1111111/1001111/1101111/1100111/1101111/1101111,images/grid_0753_n7_seed753.svg,optimal,optimal-753,,,,0.19047619047619047,0.2857142857142857,0.2619047619047619,0.2619047619047619,0.43902439024390244,2.210526315789474,6.0,1.0,1.6408902387494626,0,8.581968613839996,314
446,7,446,42,0,0,6,0,44,3,dddrrruuullrrrrrddddddllllrurruuuuldddlllldd,1111111/1001111/1001111/1111111/1111111/1001111/1011111,images/grid_0446_n7_seed446.svg,optimal,optimal-446,,,,0.18181818181818182,0.3181818181818182,0.25,0.25,0.32558139534883723,2.933333333333333,6.0,1.0,1.4360439485692011,0,8.592002672898799,315
988,7,988,44,0,0,3,2,43,0,ddrdddldrrrrrrululdllurururruuldlullldrrdld,1111111/1111111/1111111/0111100/0111110/1111111/1111111,images/grid_0988_n7_seed988.svg,optimal,optimal-988,,,,0.18604651162790697,0.2558139534883721,0.2558139534883721,0.3023255813953488,0.6666666666666666,1.4827586206896552,6.0,1.0,1.0379253064339593,0,8.630033134978218,316
926,7,926,42,0,0,5,5,44,3,dddduruuurrrrrddluldluldddddllrrruuurrrdddlu,1111111/1111111/1111111/1111111/1011001/0011011/1111011,images/grid_0926_n7_seed926.svg,optimal,optimal-926,,,,0.22727272727272727,0.3409090909090909,0.1590909090909091,0.2727272727272727,0.46511627906976744,2.0952380952380953,5.0,1.0,1.341809790819559,0,8.69170074339704,317
805,7,805,42,0,0,6,6,42,1,ddddrrrrurruuulllllddrurrrdlldllddldrrrrrr,1111111/1111111/1111111/1111111/1111100/1100000/1111111,images/grid_0805_n7_seed805.svg,optimal,optimal-805,,,,0.11904761904761904,0.2619047619047619,0.23809523809523808,0.38095238095238093,0.4146341463414634,2.3333333333333335,6.0,1.0,1.4907119849998598,0,8.699607917772697,318
771,7,771,41,0,0,1,2,41,1,ddddddrrrrrruluruluruulldrdlldddlluruluru,1000111/1010111/1111111/1111011/1111011/1111011/1111111,images/grid_0771_n7_seed771.svg,optimal,optimal-771,,,,0.24390243902439024,0.2682926829268293,0.21951219512195122,0.2682926829268293,0.6,1.64,6.0,1.0,1.3821722034536796,0,8.725679841176975,319
72,7,59,40,0,0,6,0,44,5,drrrrurdrudddlllluldluddrrrrrrddlulullddluld,1000111/1111111/1110001/1111111/1111111/1110111/1110011,human_images/human_config0_attempt0072.svg,human,human-72,02q6hy,0,config 0,0.1590909090909091,0.29545454545454547,0.2727272727272727,0.2727272727272727,0.6046511627906976,1.6296296296296295,6.0,1.0,1.2216609261089364,0,8.739039066169417,320
474,7,474,42,0,0,0,2,42,1,rddddlddrurdrrrruuldlulduluurrrruuldluldlu,1111111/0111111/0111111/0110000/1111111/1111111/1111111,images/grid_0474_n7_seed474.svg,optimal,optimal-474,,,,0.2619047619047619,0.2619047619047619,0.21428571428571427,0.2619047619047619,0.6829268292682927,1.4482758620689655,4.0,1.0,0.9316728335245723,0,8.750055684807396,321
172,7,172,45,0,0,3,6,45,1,ddddddrrrrrrulluuuulddddllurulurulurrrrrldddr,1111111/1111110/1111110/1111111/1111100/1111111/1111111,images/grid_0172_n7_seed172.svg,optimal,optimal-172,,,,0.2222222222222222,0.28888888888888886,0.17777777777777778,0.3111111111111111,0.45454545454545453,2.142857142857143,6.0,1.0,1.7261494247992246,0,8.767883615887282,322
238,7,238,43,0,0,1,5,44,2,rrrlldldddddrrrrrrullllluuurrrdlldrrrruuuuld,1111011/1100011/1111101/1111101/1111111/1111111/1111111,images/grid_0238_n7_seed238.svg,optimal,optimal-238,,,,0.18181818181818182,0.20454545454545456,0.25,0.36363636363636365,0.37209302325581395,2.588235294117647,6.0,1.0,1.6470588235294115,0,8.774637812715877,323
996,7,996,38,0,0,3,0,39,2,drurrrrrdddluuldllurddddlrrrrdlllllluuu,1111111/1111111/0011111/1001011/1001000/1011111/1111111,images/grid_0996_n7_seed996.svg,optimal,optimal-996,,,,0.1794871794871795,0.2564102564102564,0.28205128205128205,0.28205128205128205,0.4473684210526316,2.1666666666666665,6.0,1.0,1.5723301886761007,0,8.802504747809019,324
