index,size,seed,open_cells,start_row,start_col,end_row,end_col,moves,overlaps,path,grid,image,source,source_id,user,config_id,config_label,move_fraction_u,move_fraction_d,move_fraction_l,move_fraction_r,turn_rate,mean_run_length,max_run_length,min_run_length,run_length_std,cluster,cluster_distance,cluster_rank,projection_x,projection_y,image_href
169,7,169,44,0,0,1,2,43,0,ddddddrurdrurdrruluruuuulllllddrdrrruuldlul,1111111/1111111/1111111/1011111/1000011/1111111/1111111,images/grid_0169_n7_seed169.svg,optimal,optimal-169,,,,0.2558139534883721,0.2790697674418604,0.2093023255813953,0.2558139534883721,0.5952380952380952,1.6538461538461535,6.0,1.0,1.3284550799361958,0,4.2621,568,-2.01228,-0.39239,../images/grid_0169_n7_seed169.svg
129,7,129,41,0,0,0,6,42,2,ddddddrrrrrulllluuuurrurlddlddrurdrruluruu,1001101/1111001/1111011/1111111/1111111/1111110/1111110,images/grid_0129_n7_seed129.svg,optimal,optimal-129,,,,0.2619047619047619,0.2619047619047619,0.1666666666666666,0.3095238095238095,0.5121951219512195,1.9090909090909092,6.0,1.0,1.4431370787625042,0,4.2768,569,-1.99757,-0.73357,../images/grid_0129_n7_seed129.svg
319,7,319,39,0,0,6,0,38,0,dddruuurrrrrddddlluruuldlulddrddlulldd,1111111/1111111/1111111/1111111/1111111/1011000/1000000,images/grid_0319_n7_seed319.svg,optimal,optimal-319,,,,0.2105263157894736,0.3684210526315789,0.2105263157894736,0.2105263157894736,0.5405405405405406,1.8095238095238095,5.0,1.0,1.0962728031639368,0,4.2783,570,-2.11002,-1.00794,../images/grid_0319_n7_seed319.svg
287,7,287,40,0,0,4,6,40,1,drurrrrrddluldluldddlludddrurdrruluurrrd,1111111/1111111/0011111/1011111/1111001/1111100/1111100,images/grid_0287_n7_seed287.svg,optimal,optimal-287,,,,0.2,0.3,0.175,0.325,0.6410256410256411,1.5384615384615383,5.0,1.0,0.9699630933014224,0,4.2787,571,-2.0566,-0.69763,../images/grid_0287_n7_seed287.svg
257,7,257,41,0,0,2,2,40,0,ddddddrrrulluuuuurrrrrddddddluullluruuld,1111111/1111001/1111001/1111001/1111111/1111011/1111011,images/grid_0257_n7_seed257.svg,optimal,optimal-257,,,,0.275,0.325,0.175,0.225,0.358974358974359,2.6666666666666665,6.0,1.0,1.849924923401548,0,4.2823,572,-1.95937,-0.74288,../images/grid_0257_n7_seed257.svg
310,7,310,42,0,0,6,0,44,3,ddddrrrduururulldldluuurdurrrrddddddludlllll,1111111/1111111/1111111/1111101/1111001/0001011/1111111,images/grid_0310_n7_seed310.svg,optimal,optimal-310,,,,0.2045454545454545,0.3409090909090909,0.2272727272727272,0.2272727272727272,0.5116279069767442,1.9130434782608696,6.0,1.0,1.471853119983544,0,4.2843,573,-1.97713,0.1044,../images/grid_0310_n7_seed310.svg
75,7,75,40,0,0,6,6,40,1,rddruurrrrdldlduulddldrdllulddrrrrruurdd,1111111/0111111/0111110/0011100/1111011/1111011/1111111,images/grid_0075_n7_seed75.svg,optimal,optimal-75,,,,0.175,0.325,0.175,0.325,0.6153846153846154,1.6,5.0,1.0,0.9797958971132712,0,4.285,574,-1.84548,-0.70906,../images/grid_0075_n7_seed75.svg
324,7,324,38,0,0,4,4,38,1,rdldrdldrrddrrrruuuuuuldllrdrdddlluurd,1100011/1101111/1100111/1101111/1111111/0011111/0011111,images/grid_0324_n7_seed324.svg,optimal,optimal-324,,,,0.2105263157894736,0.3157894736842105,0.1842105263157894,0.2894736842105263,0.5945945945945946,1.6521739130434785,6.0,1.0,1.2017630400943695,0,4.2863,575,-2.00525,-0.29125,../images/grid_0324_n7_seed324.svg
157,7,157,45,0,0,2,4,46,2,rddlddddrrrrrruuldluuruuurlllldddlddrurduuuurd,1111111/0111110/1111110/1111110/1111111/1111111/1111111,images/grid_0157_n7_seed157.svg,optimal,optimal-157,,,,0.2608695652173913,0.3043478260869565,0.1739130434782608,0.2608695652173913,0.5111111111111111,1.9166666666666667,6.0,1.0,1.3514395616855712,0,4.3023,576,-1.72178,-1.06324,../images/grid_0157_n7_seed157.svg
154,7,154,39,0,0,6,4,40,2,ddddddrrulurrlluurrrulllurrrrrdlddddrdll,1111111/1111111/1111110/1100010/1111010/1110011/1110111,images/grid_0154_n7_seed154.svg,optimal,optimal-154,,,,0.15,0.3,0.225,0.325,0.4615384615384615,2.1052631578947367,6.0,1.0,1.44712916682816,0,4.3053,577,-2.00086,-0.62329,../images/grid_0154_n7_seed154.svg
