size,row_count,sources,strategy,html_href,svg_path,csv_path
7,1029,"optimal=1000, human=29",count_svd + kmeans (k=3),size_7/cluster_projection.html,/Users/arjunkakkar/Desktop/cc/mow-data/src/optimal/library/clusters/size_7/cluster_projection.svg,/Users/arjunkakkar/Desktop/cc/mow-data/src/optimal/library/clusters/size_7/cluster_projection.csv
10,14,human=14,count_svd + kmeans (k=4),size_10/cluster_projection.html,/Users/arjunkakkar/Desktop/cc/mow-data/src/optimal/library/clusters/size_10/cluster_projection.svg,/Users/arjunkakkar/Desktop/cc/mow-data/src/optimal/library/clusters/size_10/cluster_projection.csv
14,14,human=14,count_svd + kmeans (k=4),size_14/cluster_projection.html,/Users/arjunkakkar/Desktop/cc/mow-data/src/optimal/library/clusters/size_14/cluster_projection.svg,/Users/arjunkakkar/Desktop/cc/mow-data/src/optimal/library/clusters/size_14/cluster_projection.csv
